deployment_id,species,week,n_images
SUN_PRAIRIE_101_R5,Mule deer,41,0
SUN_PRAIRIE_101_R5,Pronghorn,41,0
SUN_PRAIRIE_101_R5,White-tailed deer,41,0
SUN_PRAIRIE_101_R5,American bison,42,0
SUN_PRAIRIE_101_R5,Coyote,42,0
SUN_PRAIRIE_101_R5,Mule deer,42,0
SUN_PRAIRIE_101_R5,Pronghorn,42,0
SUN_PRAIRIE_101_R5,White-tailed deer,42,0
SUN_PRAIRIE_102_R1,American bison,20,0
SUN_PRAIRIE_102_R1,Coyote,20,0
SUN_PRAIRIE_102_R1,Mule deer,20,0
SUN_PRAIRIE_102_R1,Pronghorn,20,0
SUN_PRAIRIE_102_R1,White-tailed deer,20,0
SUN_PRAIRIE_102_R1,American bison,21,6
SUN_PRAIRIE_102_R1,Coyote,21,0
SUN_PRAIRIE_102_R1,Mule deer,21,0
SUN_PRAIRIE_102_R1,Pronghorn,21,0
SUN_PRAIRIE_102_R1,White-tailed deer,21,0
SUN_PRAIRIE_102_R1,American bison,22,12
SUN_PRAIRIE_102_R1,Coyote,22,8
SUN_PRAIRIE_102_R1,Mule deer,22,0
SUN_PRAIRIE_102_R1,Pronghorn,22,0
SUN_PRAIRIE_102_R1,White-tailed deer,22,0
SUN_PRAIRIE_102_R1,American bison,23,16
SUN_PRAIRIE_102_R1,Coyote,23,0
SUN_PRAIRIE_102_R1,Mule deer,23,0
SUN_PRAIRIE_102_R1,Pronghorn,23,0
SUN_PRAIRIE_102_R1,White-tailed deer,23,0
SUN_PRAIRIE_102_R1,American bison,24,63
SUN_PRAIRIE_102_R1,Coyote,24,0
SUN_PRAIRIE_102_R1,Mule deer,24,0
SUN_PRAIRIE_102_R1,Pronghorn,24,0
SUN_PRAIRIE_102_R1,White-tailed deer,24,0
SUN_PRAIRIE_102_R1,American bison,25,16
SUN_PRAIRIE_102_R1,Coyote,25,0
SUN_PRAIRIE_102_R1,Mule deer,25,0
SUN_PRAIRIE_102_R1,Pronghorn,25,0
SUN_PRAIRIE_102_R1,White-tailed deer,25,0
SUN_PRAIRIE_102_R2,American bison,25,0
SUN_PRAIRIE_102_R2,Coyote,25,0
SUN_PRAIRIE_102_R2,Mule deer,25,0
SUN_PRAIRIE_102_R2,Pronghorn,25,0
SUN_PRAIRIE_102_R2,White-tailed deer,25,0
SUN_PRAIRIE_102_R2,American bison,26,40
SUN_PRAIRIE_102_R2,Coyote,26,0
SUN_PRAIRIE_102_R2,Mule deer,26,10
SUN_PRAIRIE_102_R2,Pronghorn,26,0
SUN_PRAIRIE_102_R2,White-tailed deer,26,0
SUN_PRAIRIE_102_R2,American bison,27,0
SUN_PRAIRIE_102_R2,Coyote,27,0
SUN_PRAIRIE_102_R2,Mule deer,27,0
SUN_PRAIRIE_102_R2,Pronghorn,27,0
SUN_PRAIRIE_102_R2,White-tailed deer,27,0
SUN_PRAIRIE_102_R2,American bison,28,0
SUN_PRAIRIE_102_R2,Coyote,28,0
SUN_PRAIRIE_102_R2,Mule deer,28,0
SUN_PRAIRIE_102_R2,Pronghorn,28,0
SUN_PRAIRIE_102_R2,White-tailed deer,28,0
SUN_PRAIRIE_102_R2,American bison,29,0
SUN_PRAIRIE_102_R2,Coyote,29,0
SUN_PRAIRIE_102_R2,Mule deer,29,0
SUN_PRAIRIE_102_R2,Pronghorn,29,0
SUN_PRAIRIE_102_R2,White-tailed deer,29,0
SUN_PRAIRIE_102_R2,American bison,30,0
SUN_PRAIRIE_102_R2,Coyote,30,0
SUN_PRAIRIE_102_R2,Mule deer,30,0
SUN_PRAIRIE_102_R2,Pronghorn,30,0
SUN_PRAIRIE_102_R2,White-tailed deer,30,0
SUN_PRAIRIE_102_R3,American bison,30,0
SUN_PRAIRIE_102_R3,Coyote,30,0
