deployment_id,species,time_in_fov_s,image_time_s,duration_days
SUN_PRAIRIE_107_R3,Mule deer,0,0,25.25414352
SUN_PRAIRIE_107_R3,Pronghorn,0,0,25.25414352
SUN_PRAIRIE_107_R3,White-tailed deer,0,0,25.25414352
SUN_PRAIRIE_107_R4,American bison,0,0,27.4806713
SUN_PRAIRIE_107_R4,Coyote,0,0,27.4806713
SUN_PRAIRIE_107_R4,Mule deer,0,0,27.4806713
SUN_PRAIRIE_107_R4,Pronghorn,0,0,27.4806713
SUN_PRAIRIE_107_R4,White-tailed deer,276.5838068300859,422,27.4806713
SUN_PRAIRIE_107_R5,American bison,7.410542651181418,14,17.98284722
SUN_PRAIRIE_107_R5,Coyote,0,0,17.98284722
SUN_PRAIRIE_107_R5,Mule deer,113.56101205699672,102,17.98284722
SUN_PRAIRIE_107_R5,Pronghorn,0,0,17.98284722
SUN_PRAIRIE_107_R5,White-tailed deer,70.65210559396606,118,17.98284722
SUN_PRAIRIE_108_R1,American bison,195.93354351888937,178,29.96465278
SUN_PRAIRIE_108_R1,Coyote,0,0,29.96465278
SUN_PRAIRIE_108_R1,Mule deer,0,0,29.96465278
SUN_PRAIRIE_108_R1,Pronghorn,0,0,29.96465278
SUN_PRAIRIE_108_R1,White-tailed deer,0,0,29.96465278
SUN_PRAIRIE_108_R2,American bison,0,0,38.79028935
SUN_PRAIRIE_108_R2,Coyote,0,0,38.79028935
SUN_PRAIRIE_108_R2,Mule deer,0,0,38.79028935
SUN_PRAIRIE_108_R2,Pronghorn,0,0,38.79028935
SUN_PRAIRIE_108_R2,White-tailed deer,0,0,38.79028935
SUN_PRAIRIE_108_R3,American bison,0,0,20.99662037
SUN_PRAIRIE_108_R3,Coyote,0,0,20.99662037
SUN_PRAIRIE_108_R3,Mule deer,0,0,20.99662037
SUN_PRAIRIE_108_R3,Pronghorn,0,0,20.99662037
SUN_PRAIRIE_108_R3,White-tailed deer,0,0,20.99662037
SUN_PRAIRIE_108_R4,American bison,159.99674426703348,160,33.6796412
SUN_PRAIRIE_108_R4,Coyote,0,0,33.6796412
SUN_PRAIRIE_108_R4,Mule deer,0,0,33.6796412
SUN_PRAIRIE_108_R4,Pronghorn,1.7471723220226214,2,33.6796412
SUN_PRAIRIE_108_R4,White-tailed deer,0,0,33.6796412
SUN_PRAIRIE_108_R5,American bison,0,0,6.094803241
SUN_PRAIRIE_108_R5,Coyote,0,0,6.094803241
SUN_PRAIRIE_108_R5,Mule deer,0,0,6.094803241
SUN_PRAIRIE_108_R5,Pronghorn,0,0,6.094803241
SUN_PRAIRIE_108_R5,White-tailed deer,0,0,6.094803241
SUN_PRAIRIE_109_R1,American bison,0,0,4.257430556
SUN_PRAIRIE_109_R1,Coyote,0,0,4.257430556
SUN_PRAIRIE_109_R1,Mule deer,0,0,4.257430556
SUN_PRAIRIE_109_R1,Pronghorn,12.747172322022621,14,4.257430556
SUN_PRAIRIE_109_R1,White-tailed deer,0,0,4.257430556
SUN_PRAIRIE_109_R2,American bison,0,0,37.87484954
SUN_PRAIRIE_109_R2,Coyote,0,0,37.87484954
SUN_PRAIRIE_109_R2,Mule deer,0,0,37.87484954
SUN_PRAIRIE_109_R2,Pronghorn,0,0,37.87484954
SUN_PRAIRIE_109_R2,White-tailed deer,0,0,37.87484954
SUN_PRAIRIE_109_R3,American bison,0,0,25.31693287
SUN_PRAIRIE_109_R3,Coyote,0,0,25.31693287
SUN_PRAIRIE_109_R3,Mule deer,0,0,25.31693287
SUN_PRAIRIE_109_R3,Pronghorn,0,0,25.31693287
SUN_PRAIRIE_109_R3,White-tailed deer,0,0,25.31693287
SUN_PRAIRIE_109_R4,American bison,931.9741330400052,942,33.64217593
SUN_PRAIRIE_109_R4,Coyote,7.041758241758242,14,33.64217593
SUN_PRAIRIE_109_R4,Mule deer,0,0,33.64217593
SUN_PRAIRIE_109_R4,Pronghorn,24.735861610113105,42,33.64217593
SUN_PRAIRIE_109_R4,White-tailed deer,0,0,33.64217593
SUN_PRAIRIE_109_R5,American bison,277.6981397677213,246,0.973020833
SUN_PRAIRIE_109_R5,Coyote,0,0,0.973020833
SUN_PRAIRIE_109_R5,Mule deer,0,0,0.973020833
SUN_PRAIRIE_109_R5,Pronghorn,0,0,0.973020833
SUN_PRAIRIE_109_R5,White-tailed deer,0,0,0.973020833
SUN_PRAIRIE_110_R1,American bison,0,0,4.063645833
SUN_PRAIRIE_110_R1,Coyote,0,0,4.063645833
SUN_PRAIRIE_110_R1,Mule deer,0,0,4.063645833
SUN_PRAIRIE_110_R1,Pronghorn,0,0,4.063645833
SUN_PRAIRIE_110_R1,White-tailed deer,0,0,4.063645833
SUN_PRAIRIE_110_R2,American bison,0,0,36.00190972
SUN_PRAIRIE_110_R2,Coyote,0,0,36.00190972
SUN_PRAIRIE_110_R2,Mule deer,0,0,36.00190972
SUN_PRAIRIE_110_R2,Pronghorn,0,0,36.00190972
SUN_PRAIRIE_110_R2,White-tailed deer,0,0,36.00190972
SUN_PRAIRIE_110_R3,American bison,0,0,28.04716435
SUN_PRAIRIE_110_R3,Coyote,0,0,28.04716435
SUN_PRAIRIE_110_R3,Mule deer,0,0,28.04716435
SUN_PRAIRIE_110_R3,Pronghorn,0,0,28.04716435
SUN_PRAIRIE_110_R3,White-tailed deer,0,0,28.04716435
SUN_PRAIRIE_110_R4,American bison,0,0,22.27039352
SUN_PRAIRIE_110_R4,Coyote,27.125274725274725,42,22.27039352
SUN_PRAIRIE_110_R4,Mule deer,0,0,22.27039352
SUN_PRAIRIE_110_R4,Pronghorn,0,0,22.27039352
SUN_PRAIRIE_110_R4,White-tailed deer,0,0,22.27039352
SUN_PRAIRIE_110_R5,American bison,0,0,22.00241898
SUN_PRAIRIE_110_R5,Coyote,38.24351648351649,44,22.00241898
SUN_PRAIRIE_110_R5,Mule deer,0,0,22.00241898
SUN_PRAIRIE_110_R5,Pronghorn,0,0,22.00241898
SUN_PRAIRIE_110_R5,White-tailed deer,0,0,22.00241898
SUN_PRAIRIE_111_R1,American bison,6.821085302362835,8,8.023391204
SUN_PRAIRIE_111_R1,Coyote,0,0,8.023391204
SUN_PRAIRIE_111_R1,Mule deer,134.63241081004634,122,8.023391204
SUN_PRAIRIE_111_R1,Pronghorn,0,0,8.023391204
SUN_PRAIRIE_111_R1,White-tailed deer,0,0,8.023391204
SUN_PRAIRIE_111_R2,American bison,0,0,36.03097222
SUN_PRAIRIE_111_R2,Coyote,0,0,36.03097222
SUN_PRAIRIE_111_R2,Mule deer,0,0,36.03097222
SUN_PRAIRIE_111_R2,Pronghorn,0,0,36.03097222
SUN_PRAIRIE_111_R2,White-tailed deer,0,0,36.03097222
SUN_PRAIRIE_111_R3,American bison,0,0,28.0074537
SUN_PRAIRIE_111_R3,Coyote,0,0,28.0074537
SUN_PRAIRIE_111_R3,Mule deer,0,0,28.0074537
SUN_PRAIRIE_111_R3,Pronghorn,0,0,28.0074537
SUN_PRAIRIE_111_R3,White-tailed deer,0,0,28.0074537
SUN_PRAIRIE_111_R4,American bison,0,0,31.14690972
SUN_PRAIRIE_111_R4,Coyote,0,0,31.14690972
SUN_PRAIRIE_111_R4,Mule deer,0,0,31.14690972
SUN_PRAIRIE_111_R4,Pronghorn,0,0,31.14690972
SUN_PRAIRIE_111_R4,White-tailed deer,0,0,31.14690972
SUN_PRAIRIE_111_R5,American bison,202.4876234375988,150,22.04189815
SUN_PRAIRIE_111_R5,Coyote,0,0,22.04189815
SUN_PRAIRIE_111_R5,Mule deer,0,0,22.04189815
SUN_PRAIRIE_111_R5,Pronghorn,0,0,22.04189815
SUN_PRAIRIE_111_R5,White-tailed deer,0,0,22.04189815
SUN_PRAIRIE_112_R1,American bison,57.520542651181415,36,31.84800926
SUN_PRAIRIE_112_R1,Coyote,0,0,31.84800926
SUN_PRAIRIE_112_R1,Mule deer,25.165506028498356,6,31.84800926
SUN_PRAIRIE_112_R1,Pronghorn,0,0,31.84800926
SUN_PRAIRIE_112_R1,White-tailed deer,0,0,31.84800926
SUN_PRAIRIE_112_R2,American bison,0,0,6.164444444
SUN_PRAIRIE_112_R2,Coyote,0,0,6.164444444
SUN_PRAIRIE_112_R2,Mule deer,0,0,6.164444444
SUN_PRAIRIE_112_R2,Pronghorn,0,0,6.164444444
SUN_PRAIRIE_112_R2,White-tailed deer,0,0,6.164444444
SUN_PRAIRIE_112_R3,American bison,0,0,27.94827546
SUN_PRAIRIE_112_R3,Coyote,0,0,27.94827546
