deployment,species,mean_density_km2,mean_density_image_time_km2
SUN_PRAIRIE_54,Coyote,0.02002905208331038,0.031008715938075422
SUN_PRAIRIE_54,Mule deer,0.0908720019895351,0.12295954415384949
SUN_PRAIRIE_54,Pronghorn,0,0
SUN_PRAIRIE_54,White-tailed deer,0,0
SUN_PRAIRIE_55,American bison,1.0259661959180413,0.5623160000928613
SUN_PRAIRIE_55,Coyote,0,0
SUN_PRAIRIE_55,Mule deer,0,0
SUN_PRAIRIE_55,Pronghorn,0,0
SUN_PRAIRIE_55,White-tailed deer,0,0
SUN_PRAIRIE_56,American bison,0.7630145095658614,0.7820151501609639
SUN_PRAIRIE_56,Coyote,0,0
SUN_PRAIRIE_56,Mule deer,0.4657235211130737,0.36507773523312265
SUN_PRAIRIE_56,Pronghorn,0,0
SUN_PRAIRIE_56,White-tailed deer,0,0
SUN_PRAIRIE_57,American bison,0,0
SUN_PRAIRIE_57,Coyote,0,0
SUN_PRAIRIE_57,Mule deer,0.12510189753300915,0.17883974361915297
SUN_PRAIRIE_57,Pronghorn,0,0
SUN_PRAIRIE_57,White-tailed deer,0,0
SUN_PRAIRIE_58,American bison,0.0408244432610113,0.07339778471357054
SUN_PRAIRIE_58,Coyote,0.004647973449225092,0.004599951972588182
SUN_PRAIRIE_58,Mule deer,2.7247025305236976,1.852285872255103
SUN_PRAIRIE_58,Pronghorn,0.13741224283649106,0.1885812747571579
SUN_PRAIRIE_58,White-tailed deer,0,0
SUN_PRAIRIE_61,American bison,0.5490258016854734,0.6266704832493317
SUN_PRAIRIE_61,Coyote,0,0
SUN_PRAIRIE_61,Mule deer,0.7283087557685848,0.7288544209513883
SUN_PRAIRIE_61,Pronghorn,0,0
SUN_PRAIRIE_61,White-tailed deer,0.27642992108279757,0.4524339668729601
SUN_PRAIRIE_62,American bison,2.7127281319646803,1.5247807255107984
SUN_PRAIRIE_62,Coyote,0,0
SUN_PRAIRIE_62,Mule deer,0.9879048782859007,0.8351944739957148
SUN_PRAIRIE_62,Pronghorn,0.38819803031799316,0.3914974096854913
SUN_PRAIRIE_62,White-tailed deer,0,0
SUN_PRAIRIE_63,American bison,12.69598351165097,9.308088522213605
SUN_PRAIRIE_63,Coyote,0,0
SUN_PRAIRIE_63,Mule deer,0.6810808175981867,0.9592608074048176
SUN_PRAIRIE_63,Pronghorn,0.07765320059757123,0.05577097717469869
SUN_PRAIRIE_63,White-tailed deer,0,0
SUN_PRAIRIE_66,American bison,4.401846033755396,1.2337261142872935
SUN_PRAIRIE_66,Coyote,0,0
SUN_PRAIRIE_66,Mule deer,0.04965417227862034,0.06356881685362278
SUN_PRAIRIE_66,Pronghorn,0,0
SUN_PRAIRIE_66,White-tailed deer,0,0
SUN_PRAIRIE_67,American bison,0.7591129644348339,1.3028339378762224
SUN_PRAIRIE_67,Coyote,0,0
SUN_PRAIRIE_67,Mule deer,0,0
SUN_PRAIRIE_67,Pronghorn,0,0
SUN_PRAIRIE_67,White-tailed deer,0,0
SUN_PRAIRIE_68,American bison,0.09026315101230958,0.16074120332922265
SUN_PRAIRIE_68,Coyote,0,0
SUN_PRAIRIE_68,Mule deer,0,0
SUN_PRAIRIE_68,Pronghorn,0,0
SUN_PRAIRIE_68,White-tailed deer,0,0
SUN_PRAIRIE_69,American bison,1.1931340336587435,0.9815588282840505
SUN_PRAIRIE_69,Coyote,0.03738656302385123,0.04700667506331101
SUN_PRAIRIE_69,Mule deer,0.005162164078300188,0.008435759732701015
SUN_PRAIRIE_69,Pronghorn,0,0
SUN_PRAIRIE_69,White-tailed deer,0.02579049634347631,0.0663623647952626
SUN_PRAIRIE_70,American bison,0,0
SUN_PRAIRIE_70,Coyote,0,0
SUN_PRAIRIE_70,Mule deer,0.007042986267118497,0.010847863485145371
SUN_PRAIRIE_70,Pronghorn,0,0
SUN_PRAIRIE_70,White-tailed deer,0.08615790003318162,0.05785527192077531
SUN_PRAIRIE_71,American bison,3.930204220089981,3.16756548338591
SUN_PRAIRIE_71,Coyote,0.021832342059597158,0.03241016521082123
SUN_PRAIRIE_71,Mule deer,0.7237687028104355,0.650770851799856
SUN_PRAIRIE_71,Pronghorn,0.5887189202398203,1.0317121570825283
SUN_PRAIRIE_71,White-tailed deer,0,0
SUN_PRAIRIE_72,American bison,4.291575138510726,2.7320850204204654
SUN_PRAIRIE_72,Coyote,0,0
SUN_PRAIRIE_72,Mule deer,0.7191297590128275,1.0667856633388062
SUN_PRAIRIE_72,Pronghorn,0,0
SUN_PRAIRIE_72,White-tailed deer,0,0
SUN_PRAIRIE_73,American bison,17.873487351174344,9.596871517307317
SUN_PRAIRIE_73,Coyote,0,0
SUN_PRAIRIE_73,Mule deer,0.4804022735939826,0.5878234543383005
SUN_PRAIRIE_73,Pronghorn,0,0
SUN_PRAIRIE_73,White-tailed deer,0,0
SUN_PRAIRIE_76,American bison,0.35869541549448003,0.42358152313755026
SUN_PRAIRIE_76,Coyote,0.006928901664339693,0.004555852972940116
SUN_PRAIRIE_76,Mule deer,0.056407876404941035,0.10506863886213716
SUN_PRAIRIE_76,Pronghorn,0.11787625443226561,0.11389632432350291
SUN_PRAIRIE_76,White-tailed deer,0,0
SUN_PRAIRIE_77,American bison,5.562745049429474,5.247726029123743
SUN_PRAIRIE_77,Coyote,0,0
SUN_PRAIRIE_77,Mule deer,2.1332899958090827,2.694895654427406
SUN_PRAIRIE_77,Pronghorn,0,0
SUN_PRAIRIE_77,White-tailed deer,0,0
SUN_PRAIRIE_78,American bison,7.240208297275979,7.390474297122664
SUN_PRAIRIE_78,Coyote,0,0
SUN_PRAIRIE_78,Mule deer,0.11161605525586618,0.09621443238885619
SUN_PRAIRIE_78,Pronghorn,0,0
SUN_PRAIRIE_78,White-tailed deer,0,0
SUN_PRAIRIE_84,American bison,0.5543283477765291,0.4977810757379064
SUN_PRAIRIE_84,Coyote,0.012258204285625025,0.020088655659600194
SUN_PRAIRIE_84,Mule deer,0.10316078328656868,0.17956778656335962
SUN_PRAIRIE_84,Pronghorn,0.0015066026018983574,0.003216510952632431
SUN_PRAIRIE_84,White-tailed deer,0.035530998199266375,0.01688668250132026
