deployment_id,species,week,time_in_fov_s,image_time_s,duration_days,distance,effort,density_km2,density_image_time_km2
SUN_PRAIRIE_100_R2,Coyote,26,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,Coyote,27,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,Coyote,28,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,Coyote,29,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,Coyote,30,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,Mule deer,25,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,Mule deer,26,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,Mule deer,27,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,Mule deer,28,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,Mule deer,29,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,Mule deer,30,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,Pronghorn,25,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,Pronghorn,26,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,Pronghorn,27,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,Pronghorn,28,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,Pronghorn,29,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,Pronghorn,30,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,White-tailed deer,25,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,White-tailed deer,26,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,White-tailed deer,27,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,White-tailed deer,28,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,White-tailed deer,29,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,White-tailed deer,30,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R3,American bison,30,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,American bison,31,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,American bison,32,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,American bison,33,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,American bison,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,Coyote,30,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,Coyote,31,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,Coyote,32,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,Coyote,33,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,Coyote,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,Mule deer,30,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,Mule deer,31,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,Mule deer,32,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,Mule deer,33,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,Mule deer,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,Pronghorn,30,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,Pronghorn,31,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,Pronghorn,32,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,Pronghorn,33,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,Pronghorn,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,White-tailed deer,30,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,White-tailed deer,31,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,White-tailed deer,32,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,White-tailed deer,33,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R3,White-tailed deer,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,American bison,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,American bison,35,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,American bison,36,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,American bison,37,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,American bison,38,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,American bison,39,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,Coyote,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,Coyote,35,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,Coyote,36,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,Coyote,37,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,Coyote,38,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,Coyote,39,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,Mule deer,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,Mule deer,35,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,Mule deer,36,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,Mule deer,37,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,Mule deer,38,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,Mule deer,39,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,Pronghorn,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,Pronghorn,35,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,Pronghorn,36,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,Pronghorn,37,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,Pronghorn,38,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,Pronghorn,39,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,White-tailed deer,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,White-tailed deer,35,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,White-tailed deer,36,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,White-tailed deer,37,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,White-tailed deer,38,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_100_R4,White-tailed deer,39,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,American bison,20,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,American bison,21,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,American bison,22,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,American bison,23,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,American bison,24,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,American bison,25,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,Coyote,20,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,Coyote,21,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,Coyote,22,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,Coyote,23,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,Coyote,24,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,Coyote,25,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,Mule deer,20,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,Mule deer,21,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,Mule deer,22,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,Mule deer,23,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,Mule deer,24,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,Mule deer,25,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,Pronghorn,20,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,Pronghorn,21,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,Pronghorn,22,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,Pronghorn,23,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,Pronghorn,24,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,Pronghorn,25,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,White-tailed deer,20,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,White-tailed deer,21,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,White-tailed deer,22,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,White-tailed deer,23,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,White-tailed deer,24,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R1,White-tailed deer,25,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R3,American bison,31,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R3,American bison,32,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R3,American bison,33,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R3,American bison,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R3,Coyote,31,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R3,Coyote,32,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R3,Coyote,33,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R3,Coyote,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R3,Mule deer,31,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R3,Mule deer,32,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R3,Mule deer,33,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R3,Mule deer,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R3,Pronghorn,31,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R3,Pronghorn,32,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R3,Pronghorn,33,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R3,Pronghorn,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R3,White-tailed deer,31,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R3,White-tailed deer,32,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R3,White-tailed deer,33,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R3,White-tailed deer,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,American bison,34,9.410542651181418,28,7,14,4.513805418092775,0.24130042754042455,0.7179619944960002
SUN_PRAIRIE_101_R4,American bison,35,565.0182702400776,476,7,14,4.513805418092775,14.487915865294505,12.205353906432004
SUN_PRAIRIE_101_R4,American bison,36,95.12108530236284,34,7,14,4.513805418092775,2.43904729008245,0.8718109933165715
SUN_PRAIRIE_101_R4,American bison,37,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,American bison,38,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,American bison,39,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,Coyote,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,Coyote,35,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,Coyote,36,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,Coyote,37,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,Coyote,38,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,Coyote,39,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,Mule deer,34,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,Mule deer,35,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,Mule deer,36,0,0,7,14,4.513805418092775,0,0
SUN_PRAIRIE_101_R4,Mule deer,37,0,0,7,14,4.513805418092775,0,0
