deployment_id,species,yday,n_images
SUN_PRAIRIE_10_R3,Mule deer,223,0
SUN_PRAIRIE_10_R3,Pronghorn,223,0
SUN_PRAIRIE_10_R3,White-tailed deer,223,0
SUN_PRAIRIE_10_R3,American bison,224,0
SUN_PRAIRIE_10_R3,Coyote,224,0
SUN_PRAIRIE_10_R3,Mule deer,224,0
SUN_PRAIRIE_10_R3,Pronghorn,224,0
SUN_PRAIRIE_10_R3,White-tailed deer,224,0
SUN_PRAIRIE_10_R3,American bison,225,0
SUN_PRAIRIE_10_R3,Coyote,225,0
SUN_PRAIRIE_10_R3,Mule deer,225,0
SUN_PRAIRIE_10_R3,Pronghorn,225,0
SUN_PRAIRIE_10_R3,White-tailed deer,225,0
SUN_PRAIRIE_10_R3,American bison,226,0
SUN_PRAIRIE_10_R3,Coyote,226,0
SUN_PRAIRIE_10_R3,Mule deer,226,0
SUN_PRAIRIE_10_R3,Pronghorn,226,0
SUN_PRAIRIE_10_R3,White-tailed deer,226,0
SUN_PRAIRIE_10_R3,American bison,227,0
SUN_PRAIRIE_10_R3,Coyote,227,0
SUN_PRAIRIE_10_R3,Mule deer,227,0
SUN_PRAIRIE_10_R3,Pronghorn,227,0
SUN_PRAIRIE_10_R3,White-tailed deer,227,0
SUN_PRAIRIE_10_R3,American bison,228,0
SUN_PRAIRIE_10_R3,Coyote,228,0
SUN_PRAIRIE_10_R3,Mule deer,228,0
SUN_PRAIRIE_10_R3,Pronghorn,228,0
SUN_PRAIRIE_10_R3,White-tailed deer,228,0
SUN_PRAIRIE_10_R3,American bison,229,1
SUN_PRAIRIE_10_R3,Coyote,229,0
SUN_PRAIRIE_10_R3,Mule deer,229,0
SUN_PRAIRIE_10_R3,Pronghorn,229,0
SUN_PRAIRIE_10_R3,White-tailed deer,229,0
SUN_PRAIRIE_10_R3,American bison,230,0
SUN_PRAIRIE_10_R3,Coyote,230,0
SUN_PRAIRIE_10_R3,Mule deer,230,0
SUN_PRAIRIE_10_R3,Pronghorn,230,0
SUN_PRAIRIE_10_R3,White-tailed deer,230,0
SUN_PRAIRIE_10_R3,American bison,231,0
SUN_PRAIRIE_10_R3,Coyote,231,0
SUN_PRAIRIE_10_R3,Mule deer,231,0
SUN_PRAIRIE_10_R3,Pronghorn,231,0
SUN_PRAIRIE_10_R3,White-tailed deer,231,0
SUN_PRAIRIE_10_R3,American bison,232,0
SUN_PRAIRIE_10_R3,Coyote,232,0
SUN_PRAIRIE_10_R3,Mule deer,232,0
SUN_PRAIRIE_10_R3,Pronghorn,232,0
SUN_PRAIRIE_10_R3,White-tailed deer,232,0
SUN_PRAIRIE_10_R3,American bison,233,0
SUN_PRAIRIE_10_R3,Coyote,233,0
SUN_PRAIRIE_10_R3,Mule deer,233,0
SUN_PRAIRIE_10_R3,Pronghorn,233,0
SUN_PRAIRIE_10_R3,White-tailed deer,233,0
SUN_PRAIRIE_10_R4,American bison,233,0
SUN_PRAIRIE_10_R4,Coyote,233,0
SUN_PRAIRIE_10_R4,Mule deer,233,0
SUN_PRAIRIE_10_R4,Pronghorn,233,0
SUN_PRAIRIE_10_R4,White-tailed deer,233,0
SUN_PRAIRIE_10_R4,American bison,234,0
SUN_PRAIRIE_10_R4,Coyote,234,0
SUN_PRAIRIE_10_R4,Mule deer,234,0
SUN_PRAIRIE_10_R4,Pronghorn,234,0
SUN_PRAIRIE_10_R4,White-tailed deer,234,0
SUN_PRAIRIE_10_R4,American bison,235,0
SUN_PRAIRIE_10_R4,Coyote,235,0
SUN_PRAIRIE_10_R4,Mule deer,235,0
SUN_PRAIRIE_10_R4,Pronghorn,235,0
SUN_PRAIRIE_10_R4,White-tailed deer,235,0
SUN_PRAIRIE_10_R4,American bison,236,0
SUN_PRAIRIE_10_R4,Coyote,236,0
SUN_PRAIRIE_10_R4,Mule deer,236,0
SUN_PRAIRIE_10_R4,Pronghorn,236,0
SUN_PRAIRIE_10_R4,White-tailed deer,236,0
SUN_PRAIRIE_10_R4,American bison,237,0
SUN_PRAIRIE_10_R4,Coyote,237,0
SUN_PRAIRIE_10_R4,Mule deer,237,0
SUN_PRAIRIE_10_R4,Pronghorn,237,0
SUN_PRAIRIE_10_R4,White-tailed deer,237,0
SUN_PRAIRIE_10_R4,American bison,238,0
SUN_PRAIRIE_10_R4,Coyote,238,0
SUN_PRAIRIE_10_R4,Mule deer,238,0
SUN_PRAIRIE_10_R4,Pronghorn,238,0
SUN_PRAIRIE_10_R4,White-tailed deer,238,0
SUN_PRAIRIE_10_R4,American bison,239,0
SUN_PRAIRIE_10_R4,Coyote,239,0
SUN_PRAIRIE_10_R4,Mule deer,239,0
SUN_PRAIRIE_10_R4,Pronghorn,239,0
SUN_PRAIRIE_10_R4,White-tailed deer,239,0
SUN_PRAIRIE_10_R4,American bison,240,0
SUN_PRAIRIE_10_R4,Coyote,240,0
SUN_PRAIRIE_10_R4,Mule deer,240,0
SUN_PRAIRIE_10_R4,Pronghorn,240,0
SUN_PRAIRIE_10_R4,White-tailed deer,240,0
SUN_PRAIRIE_10_R4,American bison,241,0
SUN_PRAIRIE_10_R4,Coyote,241,0
SUN_PRAIRIE_10_R4,Mule deer,241,0
SUN_PRAIRIE_10_R4,Pronghorn,241,0
SUN_PRAIRIE_10_R4,White-tailed deer,241,0
SUN_PRAIRIE_10_R4,American bison,242,0
SUN_PRAIRIE_10_R4,Coyote,242,0
SUN_PRAIRIE_10_R4,Mule deer,242,0
SUN_PRAIRIE_10_R4,Pronghorn,242,0
