deployment_id,species,time_in_fov_s,image_time_s,duration_days,distance_m,effort,density_km2,density_image_time_km2
SUN_PRAIRIE_61_R1,American bison,127.93104548139397,122,22.8952662,12,10.846682094462126,1.365102603616796,1.3018147160023854
SUN_PRAIRIE_61_R2,American bison,0,0,35.85059028,14,23.117512663955452,0,0
SUN_PRAIRIE_62_R1,American bison,4.055522740696988,4,11.00332176,7,1.7738161920466475,0.2646211079839125,0.26099827312366086
SUN_PRAIRIE_62_R2,American bison,0,0,35.87471065,14,23.133066186354366,0,0
SUN_PRAIRIE_63_R2,American bison,0,0,12.1977662,14,7.865477594598417,0,0
SUN_PRAIRIE_66_R1,American bison,1379.8297491538456,252,3.340555556,27,8.011889470083217,19.933190274218525,3.640422995795987
SUN_PRAIRIE_66_R2,American bison,0,0,34.99381944,14,22.565041684004612,0,0
SUN_PRAIRIE_67_R1,American bison,0,0,11.13055556,10,3.66189227355034,0,0
SUN_PRAIRIE_67_R2,American bison,0,0,4.267361111,14,2.7517196719700285,0,0
SUN_PRAIRIE_68_R1,American bison,0,0,27.92496528,18,29.766404157592557,0,0
SUN_PRAIRIE_68_R2,American bison,0,0,33.94206019,14,21.886836455264724,0,0
SUN_PRAIRIE_69_R1,American bison,0,0,24.1183912,5,1.9837048993119737,0,0
SUN_PRAIRIE_69_R2,American bison,0,0,20.18693287,14,13.017126709040161,0,0
SUN_PRAIRIE_70_R1,American bison,0,0,28.13152778,5,2.3137799291652956,0,0
SUN_PRAIRIE_70_R2,American bison,0,0,3.164363426,14,2.040474396727631,0,0
SUN_PRAIRIE_71_R1,American bison,83.24656822209096,26,10.7649537,11,4.285349611316271,2.248362524426557,0.7022202462344601
SUN_PRAIRIE_71_R2,American bison,0,0,2.951226852,14,1.9030376792254977,0,0
SUN_PRAIRIE_72_R1,American bison,216.59761370348494,86,24.41081019,5,2.0077559638421345,12.486163011935298,4.957626266817726
SUN_PRAIRIE_72_R2,American bison,0,0,14.25972222,14,9.195087345304847,0,0
SUN_PRAIRIE_73_R1,American bison,617.4749724001072,278,4.977974537,7,0.8024860155799454,89.05701695350871,40.09531044933268
SUN_PRAIRIE_73_R2,American bison,0,0,3.601736111,14,2.3225051389103144,0,0
SUN_PRAIRIE_76_R1,American bison,91.56209096278795,94,31.90894676,11,12.702422732712503,0.8342868486428617,0.8565003589127418
SUN_PRAIRIE_77_R1,American bison,14.111045481393976,18,2.351018519,20,3.0938892504660793,0.5278866579974653,0.6733703648310905
SUN_PRAIRIE_77_R2,American bison,0,0,11.00340278,14,7.095317012260157,0,0
SUN_PRAIRIE_78_R1,American bison,153.53104548139396,184,8.001701389,9,2.1323381703891573,8.333479734817981,9.987297789829306
SUN_PRAIRIE_78_R2,American bison,0,0,0.751053241,14,0.48430116978599125,0,0
SUN_PRAIRIE_84_R1,American bison,179.9441819255759,134,27.9996412,25,57.57331092985318,0.3617452700163109,0.2693827922829661
SUN_PRAIRIE_84_R2,American bison,89.7541819255759,56,34.99898148,14,22.56837031887895,0.4602997626264304,0.2871931552833292
SUN_PRAIRIE_85_R1,American bison,0,0,26.1103588,12,12.369839197411979,0,0
SUN_PRAIRIE_85_R2,American bison,11.055522740696988,12,26.89971065,14,17.34572281101399,0.07376887116355187,0.08007097219419348
SUN_PRAIRIE_86_R1,American bison,88.34059854302028,48,29.97918981,8,6.312313907610949,1.6197873652198207,0.8801139545447911
SUN_PRAIRIE_86_R2,American bison,834.7965682220911,640,2.908877315,14,1.8757294550020231,51.51061253327119,39.490809229732
SUN_PRAIRIE_87_R1,American bison,0,0,5.08875,12,2.410806366086023,0,0
